date_batch,studio_name,city,catalog_url,telegram_url,skip_reason,send_today,draft_message,note_for_human
2026-09-05,Art Republic,Екатеринбург,https://t.me/artrepublicekb,https://t.me/artrepublicekb,,да,"Здравствуйте! Вижу, запись в Art Republic (Екатеринбург) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент пишет в Telegram, выбирает зал и время, видит свободные окна и получает подтверждение без переписки.

Не CRM и не виджет. Подключается к текущему Telegram и не трогает сайт.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","Источник: публичный t.me-превью Art Republic с кнопкой Send Message; визуально проверить, что открывается личка студии, не канал."
2026-09-05,Laboratory,Екатеринбург,https://taplink.cc/labstudios_ekb,https://t.me/arenda_head_lab,,да,"Здравствуйте! Вижу, запись в Laboratory (Екатеринбург) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент пишет в Telegram, выбирает зал и время, видит свободные окна и получает подтверждение без переписки.

Не CRM и не виджет. Подключается к текущему Telegram и не трогает сайт.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","Источник: Taplink Laboratory, кнопка «НАПИСАТЬ В TELEGRAM» с подписью «управляющей студии»; проверить, что это ЛС управляющей."
2026-09-05,Light Room,Екатеринбург,https://lightroom-studio.ru/kontakty,https://t.me/LightRoom38,,да,"Здравствуйте! У Light Room уже есть запись на сайте — не предлагаю заменить её. Сделали бота только под Telegram для Light Room (Екатеринбург).

Сделали бота только под почасовую аренду зала: клиент пишет в Telegram, выбирает зал и время, видит свободные окна и получает подтверждение без переписки.

Не CRM и не виджет. Подключается к текущему Telegram и не трогает сайт.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","Источник: сайт lightroom-studio.ru, кнопка «написать в Телеграмм»; проверить, что ссылка ведёт в ЛС, а не в новостной канал."
2026-09-05,Reference,Екатеринбург,https://taplink.cc/reference.ekb,https://t.me/REFERENCE_EKB,,да,"Здравствуйте! Вижу, запись в Reference (Екатеринбург) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент пишет в Telegram, выбирает зал и время, видит свободные окна и получает подтверждение без переписки.

Не CRM и не виджет. Подключается к текущему Telegram и не трогает сайт.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","Источник: Taplink Reference, блок «Написать нам в Телеграм»; проверить, что @REFERENCE_EKB открывается как личка."
2026-09-05,Квартира 9,Екатеринбург,https://taplink.cc/kvartira_9,https://t.me/dianastre,,да,"Здравствуйте! Вижу, запись в Квартира 9 (Екатеринбург) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент пишет в Telegram, выбирает зал и время, видит свободные окна и получает подтверждение без переписки.

Не CRM и не виджет. Подключается к текущему Telegram и не трогает сайт.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","Источник: Taplink Квартира 9, messenger «Связаться и забронировать» → @dianastre; проверить, что это админ/бронирование."
2026-09-05,Studio205,Екатеринбург,https://taplink.cc/studio205,https://t.me/olg_go,,да,"Здравствуйте! Вижу, запись в Studio205 (Екатеринбург) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент пишет в Telegram, выбирает зал и время, видит свободные окна и получает подтверждение без переписки.

Не CRM и не виджет. Подключается к текущему Telegram и не трогает сайт.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","Источник: Taplink Studio205, кнопка «ХОЧУ ЗАБРОНИРОВАТЬ КАБИНЕТ» → @olg_go; проверить, что это ЛС администратора."
2026-09-05,Stories,Екатеринбург,https://storiesstudio.ru,https://t.me/StudioStories,,да,"Здравствуйте! Вижу, запись в Stories (Екатеринбург) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент пишет в Telegram, выбирает зал и время, видит свободные окна и получает подтверждение без переписки.

Не CRM и не виджет. Подключается к текущему Telegram и не трогает сайт.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","Источник: сайт storiesstudio.ru, кнопка Telegram; визуально проверить, что @StudioStories принимает личные сообщения."
2026-09-05,Prizma Production,Екатеринбург,https://prizmapro.ru,https://t.me/prizmaproduction1,,да,"Здравствуйте! Вижу, запись в Prizma Production (Екатеринбург) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент пишет в Telegram, выбирает зал и время, видит свободные окна и получает подтверждение без переписки.

Не CRM и не виджет. Подключается к текущему Telegram и не трогает сайт.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","Источник: сайт prizmapro.ru, соцссылка Telegram; проверить, что это рабочий username студии для ЛС."
2026-09-05,Fashion Box,Екатеринбург,https://promofashionbox.ru,https://t.me/promo_fashionbox,,да,"Здравствуйте! Вижу, запись в Fashion Box (Екатеринбург) идёт через Telegram / переписку.

Сделали бота только под почасовую аренду зала: клиент пишет в Telegram, выбирает зал и время, видит свободные окна и получает подтверждение без переписки.

Не CRM и не виджет. Подключается к текущему Telegram и не трогает сайт.
Тарифы 490 / 990 ₽ в месяц. Демо: https://t.me/Studio_book_bot
Коротко на сайте: https://studiobook.com.ru

Если не актуально — напишите, больше не потревожу.","Источник: сайт promofashionbox.ru, messenger-ссылка Telegram; проверить, что username открывается в ЛС студии."
2026-09-05,013 photostudio,Екатеринбург,https://taplink.cc/photostudio013,https://t.me/photostudio013,канал без ЛС,нет,,"Источник: Taplink 013, блок «ПОДПИСАТЬСЯ НА НОВОСТИ СТУДИИ»; не писать, если это новостной канал без ЛС."
